LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value
HUN	GFCF	TOT	AGRWTH	A	2006	0.73857
HUN	GFCF	TOT	AGRWTH	A	2007	4.604646
HUN	GFCF	TOT	AGRWTH	A	2008	1.184578
HUN	GFCF	TOT	AGRWTH	A	2009	-9.121676
HUN	GFCF	TOT	AGRWTH	A	2010	-9.466019
HUN	GFCF	TOT	AGRWTH	A	2011	-1.301284
HUN	GFCF	TOT	AGRWTH	A	2012	-2.989735
HUN	GFCF	TOT	AGRWTH	A	2013	9.799074
HUN	GFCF	TOT	AGRWTH	A	2014	12.250841
HUN	GFCF	TOT	AGRWTH	A	2015	4.759283
HUN	GFCF	TOT	AGRWTH	A	2016	-10.557888
HUN	GFCF	TOT	AGRWTH	A	2017	18.6804
HUN	GFCF	TOT	AGRWTH	A	2018	17.11454
ISL	GFCF	TOT	AGRWTH	A	1990	3.00982
ISL	GFCF	TOT	AGRWTH	A	1991	2.588862
ISL	GFCF	TOT	AGRWTH	A	1992	-10.353984
ISL	GFCF	TOT	AGRWTH	A	1993	-9.802932
ISL	GFCF	TOT	AGRWTH	A	1994	-0.21037
ISL	GFCF	TOT	AGRWTH	A	1995	-1.712456
ISL	GFCF	TOT	AGRWTH	A	1996	22.315051
ISL	GFCF	TOT	AGRWTH	A	1997	11.223009
ISL	GFCF	TOT	AGRWTH	A	1998	30.568186
ISL	GFCF	TOT	AGRWTH	A	1999	-3.334146
ISL	GFCF	TOT	AGRWTH	A	2000	11.923926
ISL	GFCF	TOT	AGRWTH	A	2001	-4.055325
ISL	GFCF	TOT	AGRWTH	A	2002	-12.282188
ISL	GFCF	TOT	AGRWTH	A	2003	9.277003
ISL	GFCF	TOT	AGRWTH	A	2004	26.615587
ISL	GFCF	TOT	AGRWTH	A	2005	31.767539
ISL	GFCF	TOT	AGRWTH	A	2006	23.683022
ISL	GFCF	TOT	AGRWTH	A	2007	-10.900032
ISL	GFCF	TOT	AGRWTH	A	2008	-18.235746
ISL	GFCF	TOT	AGRWTH	A	2009	-47.90829
ISL	GFCF	TOT	AGRWTH	A	2010	-8.066315
ISL	GFCF	TOT	AGRWTH	A	2011	11.473598
